,ItemID,ItemName,AssembledSword/ArmorParts,Quality,ItemInfo,EquipmentID,ItemImg,StaticMesh,WeaponOrArmor,Armor/WeaponSetName,SwordPart,ArmorCustomValues,CustomWeaponsStruct,RegenHPValue,HardPrice
0,"0","None","(0)","(0,0)","In diesem Feld ist noch kein Item drin...","-1","Texture2D'/Game/Textures/EmptyItemSlot.EmptyItemSlot'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
9,"9","Holz","(0)","(0,0)","Ein stück Holz, dass du im Wald abgebaut hast","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_WoodLog.ItemImg_WoodLog'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","5"
2,"2","Stock","(0)","(0,0)","Ein einfacher Stock den du hergestellt hast","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Stick.ItemImg_Stick'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","3"
10,"10","Zweig","(0)","(0,0)","Ein Zweig eines Baumes","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Twig.ItemImg_Twig'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","2"
11,"11","Stein","(0)","(0,0)","Ein Stein den du abgebaut hast","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Stone.ItemImg_Stone'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","3"
15,"15","Steinkohle","(0)","(0,0)","Steinkohle kannst du zum anfeuern eines Ofens oder zum herstellen von Gegenständen nutzen. Steinkohle ist aber nicht selten","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_Coal.ItemImg_Coal'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","7"
12,"12","Eisenerz","(0)","(0,0)","Das ist Eisenerz! Es ist relativ selten doch es ist noch unbearbeitet","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_IronOre.ItemImg_IronOre'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","10"
13,"13","Eisenbarren","(0)","(0,0)","Dies ist das Ergebniss aus der Schmelze von Eisenerz","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_IronIngot.ItemImg_IronIngot'","None","none","none","None","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=0.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
16,"16","Einfache Eisenklinge","(1,0,0,0,1)","(0,0)","Eine einfache Eisenklinge die ihren Zweck erfüllt.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_SwordSharpPart.ItemImg_SwordSharpPart'","StaticMesh'/Game/Geometry/Meshes/ModularSwordKit/ModularSwordKit_Klinge01.ModularSwordKit_Klinge01'","WeaponPart","none","Schneide","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=5.000000,StaminaReductionInPercent=0.100000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
17,"17","Schmale Eisenklinge","(1,0,0,0,1)","(0,0)","Eine schmale Eisenklinge. Sie ist besser geeignet um Rüstung zu durchstoßen","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_SwordSharpPart.ItemImg_SwordSharpPart'","StaticMesh'/Game/Geometry/Meshes/ModularSwordKit/ModularSwordKit_Klinge02.ModularSwordKit_Klinge02'","WeaponPart","none","Schneide","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=15.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
1,"1","Breite Eisenklinge","(1,0,0,0,1)","(0,0)","Eine grobe Klinge welche großen schaden anrichten kann.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_SwordSharpPart.ItemImg_SwordSharpPart'","StaticMesh'/Game/Geometry/Meshes/ModularSwordKit/ModularSwordKit_Klinge04.ModularSwordKit_Klinge04'","WeaponPart","none","Schneide","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=25.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
18,"18","Einfacher Griff","(0,0,1,0,1)","(0,0)","Ein breiter Griff welcher vorallem für lange Waffen genutzt wird.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_SwordGrip.ItemImg_SwordGrip'","StaticMesh'/Game/Geometry/Meshes/ModularSwordKit/ModularSwordKit_Grip01.ModularSwordKit_Grip01'","WeaponPart","none","Griff","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=1.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
3,"3","Schmaler Griff","(0,0,1,0,1)","(0,0)","Ein schmaler Griff welcher für degenartige Langwaffen genutzt wird.","-1","Texture2D'/Game/Textures/ItemImages/ItemImg_SwordGrip.ItemImg_SwordGrip'","StaticMesh'/Game/Geometry/Meshes/ModularSwordKit/ModularSwordKit_Grip02.ModularSwordKit_Grip02'","WeaponPart","none","Griff","(Protection=0.000000,Evasion=0.000000,DamageReductionInPercent=0.000000)","(DamagePerHit=3.000000,StaminaReductionInPercent=0.000000,LifestealInHpPerHit=0.000000)","(Health=0.000000,Stamina=0.000000)","0"
